stationNumber,x,y,z
367,-19.223183450500002,-22.9313289965,1.4277779948159
368,-22.2117930469,-22.903364786999997,1.4257942200954998
369,-19.1890679389,-17.7074511665,1.451845126271
370,-21.445844906599998,-21.607964595400002,1.4307064418775999
371,-22.9529462081,-21.610269375700003,1.4291501167944
372,-22.1686989808,-15.0814425801,1.4582788259911998
373,-24.4385713319,-16.4141227976,1.4500858046772
374,-19.194153009900003,-20.311964416899997,1.4404528023251
375,-16.946277132,-21.6176630555,1.4376475241642
376,-18.4471778771,-21.6124478624,1.4357664491428
377,-23.6899260323,-15.096278664900002,1.457702176804
378,-19.208657070199997,-25.51431562,1.4167612115018
379,-20.710174752300002,-25.5102702995,1.4136749590944
380,4.1119604133,-3.4668277837300003,1.4853911198538001
381,2.60097549824,-3.46112016146,1.4882883186809999
382,3.36635678014,-2.18222827706,1.4872383162637
383,-13.1999275916,-25.5349548226,1.4237436632249
384,-16.203327154500002,-25.523899973,1.4221845047556
385,-14.705102676500001,-25.5300323846,1.4213251842779
386,-12.4579205803,-26.833072575099997,1.4169582166355001
387,-13.9586559389,-26.826661594500003,1.4175516317702
388,-25.1938269545,-17.6962001452,1.4440021212032
389,-23.6979333397,-17.654709503099998,1.4456731686845001
390,-17.6951567746,-20.3149704653,1.4418622641631
391,-20.697058458,-20.306431139100003,1.4372269042521
392,1.8592345394399998,-2.1765211463000003,1.49090684012322
393,-22.9386469057,-16.3757559752,1.4529880386865
394,-16.1908521259,-20.3198623152,1.443657339658
395,-22.9830878419,-19.0000541104,1.4409876367913
396,-16.188906720000002,-17.7070109947,1.4552757800507
397,-19.191252030700003,-15.1069566998,1.4624291587943001
398,-24.4417161638,-18.9974902095,1.4390697402116
399,-22.195406072999997,-20.3050774156,1.4357198552064
400,-17.6765836254,-15.113389232400001,1.4639856559858
401,-23.6952864993,-20.3021958732,1.4332704711292
402,-19.9480457712,-21.611123394499998,1.4333795280177
403,-13.9755654559,-18.9605843964,1.4538479090214
404,-20.6689799524,-15.109323206900001,1.4610521918094
405,-15.437411006300001,-19.0096309921,1.4509552946717998
406,-22.8987112961,-13.712184946699999,1.4634136164743
407,-22.170934549800002,-12.5012231571,1.4690977888245
408,-14.7003790349,-20.3384969465,1.4452523250103
409,-23.675634861499997,-12.4847152605,1.4689095379394
410,-14.685547014600001,-17.7190299543,1.4563860509011
411,3.35976964609,-4.767925486909999,1.4847985479591
412,-16.9449675364,-18.996776362000002,1.4487618395518
413,2.6074212171999998,-6.0682638514,1.4867919257586
414,-16.943443724,-16.3947404152,1.4604277971648
